body_length,height_withers,chest_width,rump_angle,bcs,aspect_ratio,breed
150.0,130.8,67.5,25,4.8,0.88,Alambadi
150.0,120,67.5,25,2.3,1.3,Alambadi
150.0,139.5,67.5,25,2.6,0.49,Alambadi
150.0,120,67.5,3,1.7,1.24,Alambadi
150.0,139.5,67.5,25,1.6,0.67,Alambadi
150.0,120,67.5,24.7,3.3,1.27,Alambadi
150.0,139.5,67.5,25,1.7,0.35,Alambadi
150.0,120,67.5,15.8,1.9,1.54,Alambadi
150.0,123.4,67.5,25,2.1,0.93,Alambadi
150.0,120,67.5,25,1.0,1.08,Alambadi
150.0,138.0,67.5,5.0,2.8,1.99,Alambadi
150.0,120,67.5,25,3.3,1.05,Alambadi
150.0,137.2,67.5,25,1.6,0.84,Alambadi
150.0,120,67.5,25,2.4,1.1,Alambadi
150.0,120,67.5,25,1.0,1.08,Alambadi
150.0,138.0,67.5,25,3.4,1.98,Alambadi
150.0,128.0,67.5,25,1.6,0.9,Alambadi
150.0,120,67.5,25,2.2,1.18,Alambadi
150.0,120,67.5,3,1.9,1.64,Alambadi
150.0,120,67.5,23.2,1.6,1.18,Alambadi
150.0,138.0,67.5,21.8,2.1,1.93,Alambadi
150.0,139.5,67.5,23.6,1.5,0.61,Alambadi
150.0,133.0,67.5,25,1.0,0.86,Alambadi
150.0,139.5,67.5,25,1.4,0.81,Alambadi
150.0,120,67.5,7.2,1.6,1.78,Alambadi
150.0,138.0,67.5,15.9,1.4,2.7,Alambadi
150.0,138.0,67.5,8.1,2.6,3.57,Alambadi
150.0,120,67.5,3,2.1,1.15,Alambadi
150.0,120,67.5,10.0,2.2,1.63,Alambadi
150.0,138.0,67.5,24.0,2.8,2.17,Alambadi
150.0,120,67.5,9.1,1.4,1.0,Alambadi
150.0,120,67.5,24.0,2.7,1.1,Alambadi
150.0,120,67.5,25,3.0,1.33,Alambadi
150.0,139.5,67.5,25,2.9,0.73,Alambadi
150.0,120,67.5,3,1.4,0.99,Alambadi
150.0,138.0,67.5,18.4,2.4,1.84,Alambadi
150.0,139.5,67.5,25,1.3,0.38,Alambadi
150.0,139.5,67.5,25,1.6,0.77,Alambadi
150.0,138.0,67.5,3.4,3.3,1.88,Alambadi
150.0,139.5,67.5,25,2.2,0.76,Alambadi
150.0,139.5,67.5,25,1.5,0.48,Alambadi
150.0,139.5,67.5,25,2.1,0.72,Alambadi
150.0,139.5,67.5,14.0,1.6,0.77,Alambadi
150.0,139.5,67.5,25,2.3,0.45,Alambadi
150.0,120,67.5,25,2.0,1.25,Alambadi
150.0,120,67.5,24.0,2.0,0.97,Alambadi
150.0,120,67.5,3,1.1,1.15,Alambadi
150.0,139.5,67.5,25,2.0,0.74,Alambadi
150.0,134.4,67.5,25,1.9,0.85,Alambadi
150.0,138.0,67.5,13.2,1.3,1.88,Alambadi
150.0,134.4,67.5,25,2.4,0.85,Alambadi
150.0,139.5,67.5,25,1.9,0.59,Alambadi
150.0,120,67.5,3,1.0,1.15,Alambadi
150.0,120,67.5,3,1.0,1.15,Alambadi
150.0,128.2,67.5,22.1,1.4,0.9,Alambadi
150.0,126.2,67.5,25,1.8,0.91,Alambadi
150.0,120,67.5,3,1.0,1.15,Alambadi
150.0,138.0,67.5,25,2.3,3.53,Alambadi
150.0,139.5,67.5,25,1.8,0.73,Alambadi
150.0,139.1,67.5,4.4,2.9,0.83,Alambadi
150.0,139.5,67.5,25,1.8,0.26,Alambadi
150.0,126.6,67.5,25,1.4,0.91,Alambadi
150.0,139.5,67.5,25,1.4,0.3,Alambadi
150.0,138.0,67.5,21.8,1.8,3.47,Alambadi
150.0,132.4,67.5,25,1.3,0.87,Alambadi
150.0,139.5,67.5,23.2,2.5,0.77,Alambadi
150.0,120,67.5,25,2.5,1.74,Alambadi
150.0,138.0,67.5,8.1,2.1,2.67,Alambadi
150.0,120,67.5,21.5,1.9,1.72,Alambadi
150.0,120,67.5,25,2.2,1.72,Alambadi
150.0,139.5,67.5,25,2.5,0.82,Alambadi
150.0,126.6,67.5,25,1.6,0.91,Alambadi
150.0,138.0,67.5,25,1.9,1.91,Alambadi
150.0,120.5,67.5,25,1.1,0.95,Alambadi
150.0,120,67.5,14.0,2.6,1.39,Alambadi
150.0,120,67.5,25,1.7,1.32,Alambadi
150.0,133.9,67.5,25,1.4,0.86,Alambadi
150.0,139.5,67.5,25,1.3,0.79,Alambadi
150.0,120.6,67.5,25,2.9,0.95,Alambadi
150.0,120,67.5,25,4.5,1.43,Alambadi
150.0,120,67.5,25,1.6,1.55,Alambadi
150.0,139.5,67.5,25,2.5,0.27,Alambadi
150.0,139.5,67.5,25,2.7,0.66,Alambadi
150.0,120,67.5,25,4.5,1.48,Alambadi
150.0,138.0,67.5,3,2.4,2.41,Alambadi
150.0,120,67.5,14.3,1.9,1.15,Alambadi
150.0,138.0,67.5,25,2.0,1.82,Alambadi
150.0,124.7,67.5,23.6,1.5,0.92,Alambadi
150.0,120,67.5,14.9,2.3,0.97,Alambadi
150.0,138.0,67.5,3,1.3,3.8,Alambadi
150.0,138.0,67.5,9.9,2.0,2.23,Alambadi
150.0,138.0,67.5,3,1.9,6.92,Alambadi
150.0,139.5,67.5,25,1.7,0.69,Alambadi
150.0,120,67.5,25,1.8,1.12,Alambadi
150.0,120.1,67.5,25,1.2,0.96,Alambadi
150.0,138.0,67.5,3,1.2,5.39,Alambadi
150.0,120,67.5,4.2,1.9,1.78,Alambadi
150.0,120,67.5,25,1.5,1.43,Alambadi
150.0,120,67.5,25,1.8,1.78,Alambadi
150.0,120,67.5,7.9,2.2,1.27,Amritmahal
150.0,120,67.5,25,1.5,1.68,Amritmahal
150.0,137.7,67.5,25,1.6,0.83,Amritmahal
